Van Love;Pumped@mail.com;202-555-0134;144.572.777-38;14/07/75
Jessie Garrett;Lavish@mail.com;202-555-0145;676.153.767-34;28/06/77
Louise Murphy;Curved@mail.com;202-555-0115;603.382.482-26;10/04/79
Brandon Perkins;Two@mail.com;202-555-0181;544.964.757-31;09/06/79
Terry Sharp;Heavenly@mail.com;202-555-0152;006.712.812-24;13/02/80
Derrick Garner;Relieved@mail.com;202-555-0149;858.214.733-30;10/05/82
Tom Jacobs;Low@mail.com;202-555-0148;508.784.474-07;20/01/83
Carolyn Hall;Spiteful@mail.com;202-555-0188;855.572.457-07;30/05/86
Lynn Erickson;Naive@mail.com;202-555-0133;278.311.814-90;23/11/86
Dewey Lane;False@mail.com;202-555-0142;503.150.899-03;03/12/87
Randal Fox;Redundant@mail.com;202-555-0130;636.415.512-00;14/10/88
Leona Carr;Loud@mail.com;202-555-0183;645.264.358-48;20/04/90
Alejandro Mckenzie;Possessive@mail.com;202-555-0184;417.830.568-94;10/04/91
Julius Silva;Silly@mail.com;202-555-0195;765.790.374-07;20/08/91
Maria Clayton;Voracious@mail.com;202-555-0161;869.489.418-18;17/04/92
Ryan Greer;Angry@mail.com;202-555-0181;121.695.244-28;15/10/94
Nettie Manning;Weary@mail.com;202-555-0180;284.591.446-66;20/03/97
Roxanne Pierce;Abounding@mail.com;202-555-0172;732.743.943-94;28/08/97
Dustin Sherman;Needless@mail.com;202-555-0156;433.592.222-10;29/08/97
Blanca Zimmerman;Few@mail.com;202-555-0197;173.334.609-08;30/05/02
Marie Castro;Psychedelic@mail.com;202-555-0109;749.847.313-54;18/11/75
Nicole West;Bewildered@mail.com;202-555-0115;197.334.589-70;02/09/77
Alberta Bradley;Sore@mail.com;202-555-0128;723.523.512-86;03/09/77
Simon Pena;Steep@mail.com;202-555-0197;681.107.489-29;29/10/77
Francis Ball;Bouncy@mail.com;202-555-0100;165.265.408-99;08/12/77
